url,recordist,Country,Dpto,locality,date,latitude,longitude,species,scientific_name,iris,sex,lifestage
472174571,Joshua Vandermeulen,Peru,Huánuco,Carpish Tunnel (Valqui D5.1),2022-08-01,-9.7198,-76.0990,Barred Fruiteater,Pipreola arcuata,brown,male,adult
464065201,Christopher Sloan,Ecuador,Pichincha,Reserva Yanacocha,2014-03-07,-0.1118,-78.5847,Barred Fruiteater,Pipreola arcuata,brown,male,adult
457354701,Oliver Kell,Colombia,Caldas,Hacienda El Bosque,2022-01-29,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
455265351,Oleg Chernyshov,Colombia,Caldas,Hacienda El Bosque,2022-02-25,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
453635131,Kevin Scaldeferri,Ecuador,Pichincha,Reserva Zuro Loma,2022-05-12,-0.0887,-78.5998,Barred Fruiteater,Pipreola arcuata,brown,male,adult
449677261,Michael Booker,Ecuador,Loja,Cerro Toledo,2022-01-25,-4.3748,-79.1116,Barred Fruiteater,Pipreola arcuata,brown,male,adult
438047411,Matt Baumann,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2022-04-10,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,female,adult
438006421,Luis Alberto Salagaje Muela,Ecuador,Napo,REFUGIO 2- REFUGIO 3-PAVA YACU,2022-04-17,-0.5650,-77.6017,Barred Fruiteater,Pipreola arcuata,brown,female,adult
435420551,Sam Woods/Tropical Birding Tours,Colombia,Caldas,Hacienda El Bosque,2022-04-01,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
431663741,Miguel Lezama - Tanager Tours,Peru,Huánuco,Carpish Tunnel (Valqui D5.1),2022-03-12,-9.7198,-76.0990,Barred Fruiteater,Pipreola arcuata,brown,female,adult
189626621,Sandra  Rairán,Colombia,Caldas,Hacienda El Bosque,2019-11-23,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,female,adult
126364531,Rob Martin,Peru,Huánuco,Carpish Tunnel (Valqui D5.1),2013-06-23,-9.7198,-76.0990,Barred Fruiteater,Pipreola arcuata,brown,male,adult
71697671,Jorge Novoa - CORBIDI,Peru,Lambayeque,Cañaris,2011-05-09,-6.0497,-79.3127,Barred Fruiteater,Pipreola arcuata,brown,female,adult
91354061,Renzo Paladines Puertas,Ecuador,Loja,PN Podocarpus--Sector Cajanuma,2018-03-24,-4.1167,-79.1738,Barred Fruiteater,Pipreola arcuata,brown,female,adult
98833101,Roger Barboza Castro,Peru,Cajamarca,Bosque de Proteccion Paigabamba,2018-05-05,-6.4123,-79.0588,Barred Fruiteater,Pipreola arcuata,brown,male,adult
623810887,Regina McNulty,Colombia,Caldas,Hacienda El Bosque,2024-09-06,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
